"Visokošolsko strokovno (prejšnje)";15251;12487;7092;4151;1982;234;4
"Visokošolsko strokovno (1. bolonjska stopnja)";6176;8947;14090;15772;16834;16044;15285
"Visokošolsko univerzitetno (1. bolonjska stopnja)";9127;13324;21565;25410;27731;28351;27102
