
"Visokosolska 1. stopnje-M";58579;58561;61293
"Visokosolska 2. stopnje-M";61251;68435;69088
"Visokosolska 3. stopnje-M";12265;14184;14457

"Visokosolska 1. stopnje-Z";83873;83572;88182
"Visokosolska 2. stopnje-Z";81778;94235;96056
"Visokosolska 3. stopnje-Z";9923;12411;12836
