"Visokošolsko univerzitetno (prejšnje)";37782;32956;23098;16237;11398;6982;2443
"Magistrsko (2. bolonjska stopnja) - enovito magistrsko";163;640;1565;2380;3094;3749;4312
"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji";848;1540;4289;6848;9618;12179;14189
